iter	Passed	Remaining
141	4157	25122
142	4158	24923
143	4160	24730
144	4161	24538
145	4162	24349
146	4166	24176
147	4167	23992
148	4169	23811
149	4170	23633
150	4171	23456
151	4173	23282
152	4174	23109
153	4175	22939
154	4176	22770
155	4177	22603
156	4179	22441
157	4180	22279
158	4181	22118
159	4182	21959
160	4183	21801
161	4184	21645
162	4185	21491
163	4186	21338
164	4187	21189
165	4187	21040
166	4188	20893
167	4189	20748
168	4190	20605
169	4191	20462
170	4191	20322
171	4192	20183
172	4193	20047
173	4194	19911
174	4195	19777
175	4195	19644
176	4196	19512
177	4197	19382
178	4197	19253
179	4198	19126
180	4199	19000
181	4199	18875
182	4200	18752
183	4201	18630
184	4201	18510
185	4202	18391
186	4203	18273
187	4203	18156
188	4204	18041
189	4205	17926
190	4205	17813
191	4206	17702
192	4207	17591
193	4207	17482
194	4208	17374
195	4209	17267
196	4210	17161
197	4210	17056
198	4211	16952
199	4212	16848
200	4212	16746
201	4213	16645
202	4214	16545
203	4214	16446
204	4215	16348
205	4216	16251
206	4217	16155
207	4217	16059
208	4218	15965
209	4219	15871
210	4219	15779
211	4220	15687
212	4221	15596
213	4221	15505
214	4222	15416
215	4223	15329
216	4224	15242
217	4225	15155
218	4225	15069
219	4226	14984
220	4226	14899
221	4227	14816
222	4228	14733
223	4229	14651
224	4230	14570
225	4230	14489
226	4231	14409
227	4232	14329
228	4232	14250
229	4233	14172
230	4234	14095
231	4234	14018
232	4235	13942
233	4236	13866
234	4236	13792
235	4238	13720
236	4239	13648
237	4240	13575
238	4240	13502
239	4241	13431
240	4242	13359
241	4242	13289
242	4243	13219
243	4244	13150
244	4245	13082
245	4245	13013
246	4246	12945
247	4247	12878
248	4247	12811
249	4248	12745
250	4249	12679
251	4249	12614
252	4250	12549
253	4250	12484
254	4251	12421
255	4345	12629
256	4395	12706
257	4397	12647
258	4399	12587
259	4402	12530
260	4405	12472
261	4406	12412
262	4408	12352
263	4410	12294
264	4411	12236
265	4412	12177
266	4414	12118
267	4415	12061
268	4417	12005
269	4418	11947
270	4420	11890
271	4421	11833
272	4422	11776
273	4423	11720
274	4424	11664
275	4425	11609
276	4426	11553
277	4427	11498
278	4428	11443
279	4429	11388
280	4429	11334
281	4430	11281
282	4431	11227
283	4432	11174
284	4432	11121
285	4433	11068
286	4434	11016
287	4434	10964
288	4435	10912
289	4436	10861
290	4436	10810
291	4437	10759
292	4438	10709
293	4439	10659
294	4440	10611
295	4440	10561
296	4441	10513
297	4442	10464
298	4442	10416
299	4443	10368
300	4444	10321
301	4445	10274
302	4446	10227
303	4446	10181
304	4447	10134
305	4448	10088
306	4448	10042
307	4449	9996
308	4450	9951
309	4450	9906
310	4451	9861
311	4452	9817
312	4452	9773
313	4453	9729
314	4454	9686
315	4454	9642
316	4456	9602
317	4457	9560
318	4458	9517
319	4459	9475
320	4460	9434
321	4460	9392
322	4461	9351
323	4462	9310
324	4463	9269
325	4463	9228
326	4464	9189
327	4465	9149
328	4467	9110
329	4467	9071
330	4468	9031
331	4469	8992
332	4469	8952
333	4470	8914
334	5014	9953
335	5015	9911
336	5016	9868
337	5017	9826
338	5018	9786
339	5020	9745
340	5021	9704
341	5022	9663
342	5023	9622
343	5024	9581
344	5025	9541
345	5026	9501
346	5027	9461
347	5028	9421
348	5029	9381
349	5030	9342
350	5031	9302
351	5032	9263
352	5033	9224
353	5033	9186
354	5034	9147
355	5035	9109
356	5036	9071
357	5037	9033
358	5038	8996
359	5039	8959
360	5040	8922
361	5041	8885
362	5042	8848
363	5043	8812
364	5044	8775
365	5045	8739
366	5046	8703
367	5046	8667
368	5047	8631
369	5048	8595
370	5048	8560
371	5049	8524
372	5050	8489
373	5051	8454
374	5052	8420
375	5053	8387
376	5055	8354
377	5056	8320
378	5057	8287
379	5058	8254
380	5059	8220
381	5060	8187
382	5061	8154
383	5062	8120
384	5063	8087
385	5063	8055
386	5064	8022
387	5065	7989
388	5066	7957
389	5066	7925
390	5067	7893
391	5068	7861
392	5069	7829
393	5069	7797
394	5070	7766
395	5071	7734
396	5071	7703
397	5072	7672
398	5073	7641
399	5073	7610
400	5074	7579
401	5074	7549
402	5075	7518
403	5076	7488
404	5076	7458
405	5077	7428
406	5078	7398
407	5078	7369
408	5079	7339
409	5080	7310
410	5080	7281
411	5081	7252
412	5082	7223
413	5082	7194
414	5083	7166
415	5084	7137
416	5084	7109
417	5085	7080
418	5086	7052
419	5086	7024
420	5087	6996
421	5088	6968
422	5088	6941
423	5089	6913
424	5089	6886
425	5090	6859
426	5091	6831
427	5091	6804
428	5092	6778
429	5093	6751
430	5094	6725
431	5094	6698
432	5095	6672
433	5096	6646
434	5097	6620
435	5098	6595
436	5099	6569
437	5100	6544
438	5100	6518
439	5101	6492
440	5102	6467
441	5103	6442
442	5103	6417
443	5104	6392
444	5105	6367
445	5106	6342
446	5107	6318
447	5108	6293
448	5108	6269
449	5109	6244
450	5109	6220
451	5110	6196
452	5111	6172
453	5112	6148
454	5113	6125
455	5114	6101
456	5115	6078
457	5116	6054
458	5117	6031
459	5118	6008
460	5119	5985
461	5120	5962
462	5121	5940
463	5122	5917
464	5123	5894
465	5124	5871
466	5125	5849
467	5126	5827
468	5128	5806
469	5129	5784
470	5130	5762
471	5131	5740
472	5132	5718
473	5133	5697
474	5135	5675
475	5136	5654
476	5137	5632
477	5138	5611
478	5139	5589
479	5670	6142
480	5671	6119
481	5672	6095
482	5673	6072
483	5674	6049
484	5676	6027
485	5676	6004
486	5677	5980
487	5678	5957
488	5679	5935
489	5680	5912
490	5681	5889
491	5682	5867
492	5683	5844
493	5683	5821
494	5684	5799
495	5685	5776
496	5685	5754
497	5686	5732
498	5687	5709
499	5687	5687
500	5688	5665
501	5689	5643
502	5690	5622
503	5691	5600
504	5692	5579
505	5692	5557
506	5693	5536
507	5694	5514
508	5695	5493
509	5695	5472
510	5696	5451
511	5697	5430
512	5697	5409
513	5698	5387
514	5699	5367
515	5699	5346
516	5700	5325
517	5701	5304
518	5701	5284
519	5702	5263
520	5702	5243
521	5703	5223
522	5704	5203
523	5705	5183
524	5706	5162
525	5707	5142
526	5707	5122
527	5708	5102
528	5708	5083
529	5709	5063
530	5710	5043
531	5710	5023
532	5711	5004
533	5712	4984
534	5712	4965
535	5713	4945
536	5713	4926
537	5714	4907
538	5715	4888
539	5715	4869
540	5716	4850
541	5717	4831
542	5718	4812
543	5719	4793
544	5720	4775
545	5720	4756
546	5721	4738
547	5722	4719
548	5723	4701
549	5723	4683
550	5724	4664
551	5725	4646
552	5726	4628
553	5726	4610
554	5727	4592
555	5728	4574
556	5729	4556
557	5729	4538
558	5730	4520
559	5730	4502
560	5731	4485
561	5732	4467
562	5733	4450
563	5734	4432
564	5734	4415
565	5735	4397
566	5736	4380
567	5736	4363
568	5737	4346
569	5738	4328
570	5739	4311
571	5740	4295
572	5740	4278
573	5741	4261
574	5742	4244
575	5742	4227
576	5743	4210
577	5744	4194
578	5745	4177
579	5745	4160
580	5746	4144
581	5747	4128
582	5748	4111
583	5749	4095
584	5749	4078
585	5750	4062
586	5750	4046
587	5751	4030
588	5752	4013
589	5752	3997
590	5753	3981
591	5754	3965
592	5754	3949
593	5755	3933
594	5756	3917
595	5756	3902
596	5757	3886
597	5757	3870
598	5758	3855
599	5759	3839
600	5760	3824
601	5760	3808
602	5761	3793
603	5762	3778
604	5763	3762
605	5764	3747
606	5764	3732
607	5765	3717
608	5766	3702
609	5766	3686
610	5767	3671
611	5768	3656
612	5768	3641
613	5769	3627
614	5770	3612
615	5770	3597
616	5771	3582
617	5772	3567
618	5772	3553
619	5773	3538
620	5774	3524
621	5775	3509
622	5775	3495
623	5776	3480
624	5777	3466
625	5778	3452
626	5779	3438
627	5780	3423
628	5781	3409
629	5781	3395
630	5782	3381
631	5783	3367
632	5784	3353
633	5785	3339
634	5785	3325
635	5786	3311
636	5787	3297
637	5788	3284
638	5788	3270
639	5789	3256
640	5790	3242
641	5791	3229
642	5792	3215
643	5792	3202
644	5793	3188
645	5794	3175
646	5795	3161
647	5795	3148
648	5796	3134
649	5797	3121
650	5798	3108
651	5798	3095
652	5799	3081
653	5800	3068
654	5801	3055
655	5803	3043
656	5803	3030
657	5805	3017
658	5909	3058
659	5911	3045
660	5913	3032
661	5915	3020
662	5917	3007
663	5919	2995
664	5921	2983
665	5924	2971
666	5926	2958
667	5928	2946
668	5930	2934
669	5932	2921
670	5933	2909
671	5936	2897
672	5938	2885
673	5940	2873
674	5942	2861
675	5943	2848
676	5945	2836
677	5946	2824
678	5948	2812
679	5950	2800
680	5951	2787
681	5952	2775
682	5953	2763
683	5954	2751
684	5955	2738
685	5956	2726
686	5957	2714
687	5958	2702
688	5959	2690
689	5960	2678
690	5961	2665
691	5962	2653
692	5963	2641
693	5964	2629
694	5965	2618
695	5966	2606
696	5967	2594
697	5968	2582
698	5969	2570
699	5969	2558
700	5970	2546
701	5971	2534
702	5971	2522
703	5972	2511
704	5973	2499
705	5973	2487
706	5974	2476
707	5975	2464
708	5976	2452
709	5976	2441
710	5977	2429
711	5978	2418
712	5978	2406
713	5979	2395
714	5981	2384
715	5981	2372
716	5982	2361
717	5983	2350
718	5984	2338
719	5985	2327
720	5986	2316
721	5987	2305
722	5988	2294
723	5988	2283
724	5989	2272
725	5990	2260
726	5991	2249
727	5992	2238
728	5992	2227
729	5993	2216
730	5994	2206
731	5995	2195
732	5996	2184
733	5996	2173
734	5997	2162
735	5998	2151
736	5999	2140
737	5999	2129
738	6000	2119
739	6001	2108
740	6001	2097
741	6002	2087
742	6003	2076
743	6004	2066
744	6005	2055
745	6005	2044
746	6006	2034
747	6007	2023
748	6010	2014
749	6011	2003
750	6012	1993
751	6013	1983
752	6013	1972
753	6014	1962
754	6015	1952
755	6016	1941
756	6017	1931
757	6018	1921
758	6019	1911
759	6020	1901
760	6021	1891
761	6022	1881
762	6023	1871
763	6024	1860
764	6025	1850
765	6026	1841
766	6027	1831
767	6028	1821
768	6029	1811
769	6029	1801
770	6030	1791
771	6031	1781
772	6032	1771
773	6429	1877
774	6431	1867
775	6433	1856
776	6433	1846
777	6567	1873
778	6568	1863
779	6569	1852
780	6570	1842
781	6571	1831
782	6574	1822
783	6575	1811
784	6576	1801
785	6577	1790
786	6578	1780
787	6580	1770
788	6581	1759
789	6582	1749
790	6583	1739
791	6585	1729
792	6586	1719
793	6589	1709
794	6590	1699
795	6591	1689
796	6592	1679
797	6593	1669
798	6594	1658
799	6595	1648
800	6596	1638
801	6597	1628
802	6598	1618
803	6599	1608
804	6600	1598
805	6602	1589
806	6604	1579
807	6605	1569
808	6607	1559
809	6608	1550
810	6609	1540
811	6610	1530
812	6611	1520
813	6612	1510
814	6613	1501
815	6614	1491
816	6615	1481
817	6618	1472
818	6619	1462
819	6620	1453
820	6621	1443
821	6622	1434
822	6623	1424
823	6624	1414
824	6625	1405
825	6626	1395
826	6628	1386
827	6629	1377
828	6630	1367
829	6632	1358
830	6633	1349
831	6635	1339
832	6636	1330
833	6637	1321
834	6638	1311
835	6639	1302
836	6640	1293
837	6641	1283
838	6642	1274
839	6643	1265
840	6644	1256
841	6646	1247
842	6647	1238
843	6649	1228
844	6650	1219
845	6651	1210
846	6652	1201
847	6653	1192
848	6654	1183
849	6655	1174
850	6656	1165
851	6657	1156
852	6658	1147
853	6660	1138
854	6662	1129
855	6663	1120
856	6664	1112
857	6665	1103
858	6666	1094
859	6667	1085
860	6668	1076
861	6669	1067
862	6670	1058
863	6671	1050
864	6673	1041
865	6675	1032
866	6676	1024
867	6677	1015
868	6679	1006
869	6680	998
870	6682	989
871	6683	981
872	6684	972
873	6685	963
874	6686	955
875	6688	946
876	6690	938
877	6691	929
878	6692	921
879	6693	912
880	6694	904
881	6695	895
882	6697	887
883	6698	879
884	6699	870
885	6700	862
886	6866	874
887	6867	866
888	6869	857
889	6871	849
890	6872	840
891	6873	832
892	6874	823
893	6875	815
894	6876	806
895	6876	798
896	6877	789
897	6878	781
898	6879	772
899	6880	764
900	6881	756
901	6882	747
902	6883	739
903	6884	731
904	6885	722
905	6887	714
906	6888	706
907	6888	698
908	6889	689
909	6890	681
910	6891	673
911	6892	665
912	6893	656
913	6894	648
914	6895	640
915	6896	632
916	6899	624
917	6900	616
918	6901	608
919	6902	600
920	6903	592
921	6904	584
922	6905	576
923	6907	568
924	6908	560
925	6909	552
926	6910	544
927	6912	536
928	6914	528
929	6916	520
930	6917	512
931	6918	504
932	6919	496
933	6920	489
934	6921	481
935	6923	473
936	6924	465
937	6926	457
938	6927	450
939	6928	442
940	6929	434
941	6930	426
942	6932	419
943	6933	411
944	6934	403
945	6935	395
946	6935	388
947	6936	380
948	6937	372
949	6938	365
950	6939	357
951	6940	349
952	6941	342
953	6942	334
954	6942	327
955	6943	319
956	6944	312
957	6947	304
958	6949	297
959	6950	289
960	6951	282
961	6952	274
962	6955	267
963	6957	259
964	6960	252
965	6962	245
966	6965	237
967	6970	230
968	6973	223
969	6975	215
970	6977	208
971	6979	201
972	6980	193
973	6983	186
974	6984	179
975	6985	171
976	6987	164
977	6988	157
978	6990	149
979	6991	142
980	6992	135
981	6993	128
982	6994	120
983	6997	113
984	6998	106
985	6999	99
986	7000	92
987	7001	85
988	7002	77
989	7003	70
990	7004	63
991	7005	56
992	7006	49
993	7007	42
994	7007	35
995	7008	28
996	7009	21
997	7010	14
998	7011	7
999	7012	0
